iter	Passed	Remaining
252	3502	6187
253	3516	6174
254	3528	6157
255	3539	6139
256	3551	6121
257	3563	6104
258	3575	6087
259	3586	6068
260	3599	6054
261	3611	6037
262	3625	6024
263	3636	6005
264	3648	5989
265	3660	5972
266	3674	5958
267	3686	5941
268	3709	5943
269	3722	5929
270	3736	5915
271	3749	5900
272	3762	5884
273	3774	5867
274	3785	5850
275	3800	5838
276	3811	5821
277	3824	5805
278	3835	5788
279	3849	5773
280	3862	5759
281	3875	5744
282	3887	5728
283	3899	5711
284	3910	5694
285	3922	5678
286	3934	5661
287	3946	5645
288	3958	5629
289	3970	5613
290	3981	5595
291	3993	5580
292	4005	5563
293	4016	5546
294	4028	5530
295	4053	5532
296	4065	5516
297	4077	5499
298	4088	5483
299	4101	5468
300	4112	5452
301	4123	5434
302	4135	5419
303	4147	5402
304	4159	5387
305	4170	5370
306	4182	5354
307	4194	5338
308	4206	5322
309	4218	5307
310	4230	5291
311	4242	5276
312	4256	5262
313	4267	5246
314	4279	5230
315	4292	5216
316	4306	5202
317	4318	5187
318	4329	5170
319	4341	5155
320	4353	5140
321	4366	5126
322	4378	5110
323	4390	5094
324	4401	5078
325	4414	5064
326	4426	5049
327	4438	5034
328	4450	5018
329	4461	5002
330	4473	4986
331	4486	4972
332	4499	4958
333	4512	4944
334	4523	4928
335	4535	4913
336	4546	4897
337	4556	4880
338	4568	4865
339	4582	4851
340	4596	4838
341	4607	4823
342	4619	4807
343	4631	4793
344	4642	4777
345	4655	4763
346	4668	4749
347	4682	4736
348	4696	4723
349	4711	4711
350	4722	4695
351	4733	4680
352	4746	4665
353	4757	4649
354	4768	4634
355	4781	4619
356	4793	4605
357	4804	4590
358	4816	4574
359	4827	4559
360	4841	4546
361	4853	4531
362	4865	4516
363	4877	4502
364	4888	4486
365	4901	4473
366	4914	4458
367	4927	4445
368	4940	4431
369	4951	4416
370	4963	4401
371	4977	4388
372	4990	4375
373	5002	4360
374	5014	4346
375	5025	4330
376	5037	4316
377	5049	4301
378	5060	4286
379	5072	4271
380	5083	4256
381	5096	4242
382	5110	4229
383	5122	4215
384	5133	4200
385	5145	4185
386	5157	4171
387	5170	4157
388	5182	4143
389	5195	4129
390	5207	4115
391	5219	4100
392	5231	4086
393	5244	4073
394	5256	4058
395	5268	4044
396	5279	4029
397	5291	4015
398	5303	4001
399	5315	3986
400	5328	3972
401	5340	3958
402	5353	3945
403	5365	3930
404	5376	3915
405	5389	3902
